"Date_calls,""calls"""
"10/19/2018,""1634"""
"10/20/2018,""987"""
"10/21/2018,""625"""
"10/22/2018,""1727"""
"10/23/2018,""1536"""
"10/24/2018,""1540"""
"10/25/2018,""1483"""
"10/26/2018,""1473"""
"10/27/2018,""861"""
"10/28/2018,""608"""
"10/29/2018,""1545"""
"10/30/2018,""1555"""
"10/31/2018,""1477"""
"11/1/2018,""1635"""
"11/2/2018,""1501"""
"11/3/2018,""827"""
"11/4/2018,""645"""
"11/5/2018,""1580"""
"11/6/2018,""1552"""
"11/7/2018,""1653"""
"11/8/2018,""1477"""
"11/9/2018,""1513"""
"11/10/2018,""967"""
"11/11/2018,""664"""
"11/12/2018,""1676"""
"11/13/2018,""1571"""
"11/14/2018,""1764"""
"11/15/2018,""1574"""
"11/16/2018,""1537"""
"11/17/2018,""928"""
"11/18/2018,""550"""
"11/19/2018,""1626"""
"11/20/2018,""1592"""
"11/21/2018,""1711"""
"11/22/2018,""2169"""
"11/23/2018,""4171"""
"11/24/2018,""2104"""
"11/25/2018,""1094"""
"11/26/2018,""2339"""
"11/27/2018,""2224"""
"11/28/2018,""1878"""
"11/29/2018,""1763"""
"11/30/2018,""1652"""
"12/1/2018,""1012"""
"12/2/2018,""645"""
"12/3/2018,""1857"""
"12/4/2018,""1791"""
"12/5/2018,""1776"""
"12/6/2018,""1840"""
"12/7/2018,""1761"""
"12/8/2018,""1258"""
"12/9/2018,""741"""
"12/10/2018,""2180"""
"12/11/2018,""2174"""
"12/12/2018,""2239"""
"12/13/2018,""2158"""
"12/14/2018,""2127"""
"12/15/2018,""1429"""
"12/16/2018,""950"""
"12/17/2018,""2546"""
"12/18/2018,""2587"""
"12/19/2018,""2539"""
"12/20/2018,""2353"""
"12/21/2018,""2402"""
"12/22/2018,""2049"""
"12/23/2018,""1112"""
"12/24/2018,""2163"""
"12/25/2018,""1770"""
"12/26/2018,""2846"""
"12/27/2018,""3357"""
"12/28/2018,""3770"""
"12/29/2018,""3399"""
"12/30/2018,""1887"""
"12/31/2018,""1441"""
"1/1/2019,""304"""
"1/2/2019,""1561"""
"1/3/2019,""1906"""
"1/4/2019,""1906"""
"1/5/2019,""1258"""
"1/6/2019,""638"""
"1/7/2019,""1"""
"1/8/2019,""2112"""
"1/9/2019,""1980"""
"1/10/2019,""1862"""
"1/11/2019,""1920"""
"1/12/2019,""1217"""
"1/13/2019,""651"""
"1/14/2019,""1599"""
"1/15/2019,""1607"""
"1/16/2019,""1673"""
"1/17/2019,""1875"""
"1/18/2019,""1503"""
"1/19/2019,""869"""
"1/20/2019,""650"""
"1/21/2019,""1612"""
"1/22/2019,""1623"""
"1/23/2019,""1560"""
"1/24/2019,""1536"""
"1/25/2019,""1474"""
"1/26/2019,""1023"""
"1/27/2019,""629"""
